"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","Subtype/Genotype (GenBank)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"138","YFV/Monkey/Brazil/2017/M73","Yellow fever virus",NA,"-N/A-","MH018081","10213","-N/A-","02/22/2017","Monkey","Cebidae sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"139","YFV/Monkey/Brazil/2017/M78","Yellow fever virus",NA,"-N/A-","MH018082","10213","-N/A-","02/20/2017","Monkey","Callithrix sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"140","YFV/Monkey/Brazil/2017/M79","Yellow fever virus",NA,"-N/A-","MH018083","10213","-N/A-","02/17/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"141","YFV/Monkey/Brazil/2017/M83","Yellow fever virus",NA,"-N/A-","MH018084","10213","-N/A-","02/09/2017","Monkey","Callithrix sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"142","YFV/Human/Brazil/2017/M94","Yellow fever virus",NA,"-N/A-","MH018085","10213","-N/A-","01/13/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"143","YFV/Human/Brazil/2017/M96","Yellow fever virus","West Africa Genotype II","-N/A-","MH018086","9519","-N/A-","01/19/2017","Human","Homo sapiens","Brazil","genomic RNA",9519,0.9519,">90%","South America","Brazil"
"144","YFV/Human/Brazil/2017/M98","Yellow fever virus",NA,"-N/A-","MH018087","10213","-N/A-","01/10/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"145","YFV/Human/Brazil/2017/M99","Yellow fever virus",NA,"-N/A-","MH018088","10213","-N/A-","01/21/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"146","YFV/Human/Brazil/2017/M100","Yellow fever virus",NA,"-N/A-","MH018089","10213","-N/A-","01/02/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"147","YFV/Human/Brazil/2017/M105","Yellow fever virus",NA,"-N/A-","MH018090","10213","-N/A-","01/12/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"148","YFV/Human/Brazil/2017/M107","Yellow fever virus",NA,"-N/A-","MH018091","10213","-N/A-","01/30/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"149","YFV/Human/Brazil/2017/M123","Yellow fever virus",NA,"-N/A-","MH018092","10213","-N/A-","01/27/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"150","YFV/Human/Brazil/2017/M138","Yellow fever virus",NA,"-N/A-","MH018093","10213","-N/A-","01/20/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"151","YFV/Human/Brazil/2017/M164","Yellow fever virus",NA,"-N/A-","MH018094","10213","-N/A-","01/30/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"152","YFV/Monkey/Brazil/2017/M218","Yellow fever virus",NA,"-N/A-","MH018099","10169","-N/A-","03/10/2017","Primate","nonhuman primate","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"153","YFV/Human/Brazil/2003/M225","Yellow fever virus",NA,"-N/A-","MH018100","10169","-N/A-","03/15/2003","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"154","YFV/Human/Brazil/2003/M226","Yellow fever virus",NA,"-N/A-","MH018101","10169","-N/A-","08/15/2003","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"155","YFV/Monkey/Brazil/2017/438","Yellow fever virus",NA,"-N/A-","MH018102","10215","-N/A-","01/31/2017","Primate","nonhuman primate","Brazil","genomic RNA",10215,1.0215,">90%","South America","Brazil"
"156","YFV/Human/Brazil/2017/460","Yellow fever virus","West Africa Genotype II","-N/A-","MH018103","10194","-N/A-","01/30/2017","Human","Homo sapiens","Brazil","genomic RNA",10194,1.0194,">90%","South America","Brazil"
"157","YFV/Human/Brazil/2017/465","Yellow fever virus","West Africa Genotype II","-N/A-","MH018104","10195","-N/A-","01/30/2017","Human","Homo sapiens","Brazil","genomic RNA",10195,1.0195,">90%","South America","Brazil"
"158","YFV/Human/Brazil/2017/480","Yellow fever virus",NA,"-N/A-","MH018105","10194","-N/A-","01/28/2017","Human","Homo sapiens","Brazil","genomic RNA",10194,1.0194,">90%","South America","Brazil"
"159","YFV/Monkey/Brazil/2017/532","Yellow fever virus",NA,"-N/A-","MH018106","10213","-N/A-","01/13/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"160","YFV/Human/Brazil/2017/1536","Yellow fever virus",NA,"-N/A-","MH018107","10218","-N/A-","02/22/2017","Human","Homo sapiens","Brazil","genomic RNA",10218,1.0218,">90%","South America","Brazil"
"161","YFV/Monkey/Brazil/2017/2109","Yellow fever virus",NA,"-N/A-","MH018109","10195","-N/A-","03/08/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10195,1.0195,">90%","South America","Brazil"
"162","UNKNOWN-LP837229","Yellow fever virus","West Africa Genotype II","-N/A-","LP837229","10838","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10838,1.0838,">90%",NA,NA
"163","YFV/Monkey/Brazil/2017/2115","Yellow fever virus","West Africa Genotype II","-N/A-","MH018110","10195","-N/A-","03/09/2017","Monkey","Callithrix sp.","Brazil","genomic RNA",10195,1.0195,">90%","South America","Brazil"
"164","YFV/Human/Brazil/2017/3919","Yellow fever virus","West Africa Genotype II","-N/A-","MH018111","10195","-N/A-","04/10/2017","Human","Homo sapiens","Brazil","genomic RNA",10195,1.0195,">90%","South America","Brazil"
"165","YFV/Monkey/Brazil/2017/4278","Yellow fever virus",NA,"-N/A-","MH018112","10216","-N/A-","04/17/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10216,1.0216,">90%","South America","Brazil"
"166","YFV/Human/Brazil/2017/4480","Yellow fever virus",NA,"-N/A-","MH018113","10195","-N/A-","04/22/2017","Human","Homo sapiens","Brazil","genomic RNA",10195,1.0195,">90%","South America","Brazil"
"167","YFV/Monkey/Brazil/2017/8","Yellow fever virus",NA,"-N/A-","MH018114","10233","-N/A-","01/24/2017","Primate","nonhuman primate","Brazil","genomic RNA",10233,1.0233,">90%","South America","Brazil"
"168","YFV/Monkey/Brazil/2017/11","Yellow fever virus",NA,"-N/A-","MH018115","10233","-N/A-","01/24/2017","Primate","nonhuman primate","Brazil","genomic RNA",10233,1.0233,">90%","South America","Brazil"
"169","YFV/Human/Brazil/2017/1818","Yellow fever virus","West Africa Genotype II","-N/A-","MH018108","10191","-N/A-","03/10/2017","Human","Homo sapiens","Brazil","genomic RNA",10191,1.0191,">90%","South America","Brazil"
"170","YFV/Monkey/Brazil/2017/M210","Yellow fever virus",NA,"-N/A-","MH018095","10213","-N/A-","01/19/2017","Monkey","Callithrix sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"171","YFV/Monkey/Brazil/2017/M211","Yellow fever virus",NA,"-N/A-","MH018096","10213","-N/A-","01/13/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"172","YFV/Monkey/Brazil/2017/M216","Yellow fever virus",NA,"-N/A-","MH018097","10212","-N/A-","01/25/2017","Monkey","Callicebus sp.","Brazil","genomic RNA",10212,1.0212,">90%","South America","Brazil"
"173","YFV/Monkey/Brazil/2017/M217","Yellow fever virus","West Africa Genotype II","-N/A-","MH018098","10213","-N/A-","01/25/2017","Monkey","Cebidae sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"174","FIOCRUZ 71530/MG/01","Yellow fever virus",NA,"-N/A-","MG969501","11007","-N/A-","03/07/2001","Human","Homo sapiens; 39-years old man infected in the sylvatic yellow fever cycle at Bom Despacho, State of Minas Gerais","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"175","RJ-2906","Yellow fever virus",NA,"-N/A-","MF185660","7969","-N/A-","01/25/2017","Monkey","New World monkey","Brazil","genomic RNA",7969,0.7969,"50-90%","South America","Brazil"
"176","2548","Yellow fever virus",NA,"-N/A-","MF185661","6995","-N/A-","02/23/2017","Human","Homo sapiens","Brazil","genomic RNA",6995,0.6995,"50-90%","South America","Brazil"
"177","3925","Yellow fever virus",NA,"-N/A-","MF170968","10236","-N/A-","04/13/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"178","rj1930","Yellow fever virus",NA,"-N/A-","MF170969","10236","-N/A-","03/18/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"179","es-2487","Yellow fever virus",NA,"-N/A-","MF170970","10236","-N/A-","03/21/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"180","m6-590 PNH","Yellow fever virus",NA,"-N/A-","MF170971","10236","-N/A-","01/30/2017","Monkey","New World monkey","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"181","2992","Yellow fever virus",NA,"-N/A-","MF170972","10236","-N/A-","03/31/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"182","3919","Yellow fever virus",NA,"-N/A-","MF170973","10236","-N/A-","04/10/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"183","2829","Yellow fever virus",NA,"-N/A-","MF170974","10236","-N/A-","03/29/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"184","1555","Yellow fever virus",NA,"-N/A-","MF170975","10236","-N/A-","03/03/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"185","282","Yellow fever virus",NA,"-N/A-","MF170976","10236","-N/A-","01/25/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"186","1122","Yellow fever virus",NA,"-N/A-","MF170977","10236","-N/A-","02/10/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"187","2841","Yellow fever virus",NA,"-N/A-","MF170978","10236","-N/A-","03/28/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"188","3472","Yellow fever virus",NA,"-N/A-","MF170979","10236","-N/A-","04/06/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"189","2563","Yellow fever virus",NA,"-N/A-","MF170980","10236","-N/A-","03/23/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"190","3495","Yellow fever virus",NA,"-N/A-","MF170981","10236","-N/A-","04/05/2017","Human","Homo sapiens","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"191","UNKNOWN-LP981866","Yellow fever virus","West Africa Genotype II","-N/A-","LP981866","10838","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10838,1.0838,">90%",NA,NA
"192","YF-BJ1","Yellow fever virus","Angola Genotype","-N/A-","MH633684","10420","-N/A-","2016","Human","Homo sapiens","China","genomic RNA",10420,1.042,">90%","Asia","China+"
"193","YF-BJ2","Yellow fever virus","Angola Genotype","-N/A-","MH633685","10420","-N/A-","2016","Human","Homo sapiens","China","genomic RNA",10420,1.042,">90%","Asia","China+"
"194","YF-BJ3","Yellow fever virus","Angola Genotype","-N/A-","MH633686","10420","-N/A-","2016","Human","Homo sapiens","China","genomic RNA",10420,1.042,">90%","Asia","China+"
"195","YF-BJ4","Yellow fever virus","Angola Genotype","-N/A-","MH633687","10568","-N/A-","2016","Human","Homo sapiens","China","genomic RNA",10568,1.0568,">90%","Asia","China+"
"196","YF-BJ5","Yellow fever virus","Angola Genotype","-N/A-","MH633688","10420","-N/A-","2016","Human","Homo sapiens","China","genomic RNA",10420,1.042,">90%","Asia","China+"
"197","YF-FZ2","Yellow fever virus","Angola Genotype","-N/A-","MH633689","10243","-N/A-","2016","Human","Homo sapiens","China","genomic RNA",10243,1.0243,">90%","Asia","China+"
"198","YF-FZ4","Yellow fever virus","Angola Genotype","-N/A-","MH633690","10221","-N/A-","2016","Human","Homo sapiens","China","genomic RNA",10221,1.0221,">90%","Asia","China+"
"199","YF-FZ6","Yellow fever virus","Angola Genotype","-N/A-","MH633691","10838","-N/A-","2016","Human","Homo sapiens","China","genomic RNA",10838,1.0838,">90%","Asia","China+"
"200","SH329086","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595203","10519","-N/A-","2020","Human","Homo sapiens","Senegal","genomic RNA",10519,1.0519,">90%","Africa","Western Africa"
"201","YF-FZ7","Yellow fever virus","Angola Genotype","-N/A-","MH633692","10310","-N/A-","2016","Human","Homo sapiens","China","genomic RNA",10310,1.031,">90%","Asia","China+"
"202","YFV112","Yellow fever virus",NA,"-N/A-","MF465805","10948","-N/A-","01/17/2017","Human","Homo sapiens","Brazil","genomic RNA",10948,1.0948,">90%","South America","Brazil"
"203","YFV/Monkey/Brazil/2017/RJ143","Yellow fever virus",NA,"-N/A-","MH484423","9475","-N/A-","01/24/2017","Monkey","Callithrix sp.","Brazil","genomic RNA",9475,0.9475,">90%","South America","Brazil"
"204","YFV/Human/Brazil/2017/RJ148","Yellow fever virus",NA,"-N/A-","MH484424","10169","-N/A-","01/24/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"205","YFV/Human/Brazil/2017/RJ150","Yellow fever virus",NA,"-N/A-","MH484425","10169","-N/A-","01/27/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"206","YFV/Monkey/Brazil/2017/RJ151","Yellow fever virus",NA,"-N/A-","MH484426","9758","-N/A-","01/13/2017","-N/A-","monkey","Brazil","genomic RNA",9758,0.9758,">90%","South America","Brazil"
"207","YFV/Monkey/Brazil/2017/RJ153","Yellow fever virus",NA,"-N/A-","MH484427","10169","-N/A-","01/24/2017","Monkey","Callithrix sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"208","YFV/Human/Brazil/2017/RJ157","Yellow fever virus",NA,"-N/A-","MH484428","10169","-N/A-","02/05/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"209","YFV/Monkey/Brazil/2017/RJ162","Yellow fever virus",NA,"-N/A-","MH484429","10169","-N/A-","02/03/2017","Monkey","Callithrix sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"210","YFV/Monkey/Brazil/2017/RJ163","Yellow fever virus",NA,"-N/A-","MH484430","10169","-N/A-","02/09/2017","Monkey","Callithrix sp.","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"211","YFV/Monkey/Brazil/2017/RJ164","Yellow fever virus",NA,"-N/A-","MH484431","9763","-N/A-","02/14/2017","-N/A-","monkey","Brazil","genomic RNA",9763,0.9763,">90%","South America","Brazil"
"212","YFV/Monkey/Brazil/2017/RJ168","Yellow fever virus",NA,"-N/A-","MH484432","9763","-N/A-","01/23/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",9763,0.9763,">90%","South America","Brazil"
"213","YFV/Monkey/Brazil/2017/RJ171","Yellow fever virus",NA,"-N/A-","MH484433","9763","-N/A-","02/03/2017","-N/A-","monkey","Brazil","genomic RNA",9763,0.9763,">90%","South America","Brazil"
"214","YFV/Human/Brazil/2017/RJ185","Yellow fever virus",NA,"-N/A-","MH484434","10169","-N/A-","01/22/2017","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"215","17D vaccine","Yellow fever virus","West Africa Genotype II","-N/A-","NC_002031*","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"216","BeAr843721","Yellow fever virus",NA,"-N/A-","MF370530","10885","-N/A-","01/15/2017","Mosquito","Haemagogus janthinomys","Brazil","genomic RNA",10885,1.0885,">90%","South America","Brazil"
"217","ESS1115-H844801","Yellow fever virus",NA,"-N/A-","MF370531","11004","-N/A-","02/28/2017","Human","Homo sapiens","Brazil","genomic RNA",11004,1.1004,">90%","South America","Brazil"
"218","RJPR4867","Yellow fever virus",NA,"-N/A-","MF370548","11007","-N/A-","04/20/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"219","FNV-FC","Yellow fever virus","West Africa Genotype II","-N/A-","MH444794","10841","-N/A-","-N/A-","Unknown","-N/A-","France","genomic RNA",10841,1.0841,">90%","Europe","Western Europe"
"220","FNV-IP","Yellow fever virus","West Africa Genotype II","-N/A-","MH444795","10844","-N/A-","-N/A-","Unknown","-N/A-","France","genomic RNA",10844,1.0844,">90%","Europe","Western Europe"
"221","FNV-NT","Yellow fever virus","West Africa Genotype II","-N/A-","MH444796","10846","-N/A-","-N/A-","Unknown","-N/A-","France","genomic RNA",10846,1.0846,">90%","Europe","Western Europe"
"222","FNV-Yale","Yellow fever virus","West Africa Genotype II","-N/A-","MH444797","10846","-N/A-","-N/A-","Unknown","-N/A-","France","genomic RNA",10846,1.0846,">90%","Europe","Western Europe"
"223","FVV","Yellow fever virus","West Africa Genotype II","-N/A-","MH444798","10851","-N/A-","-N/A-","Human","Homo sapiens","Senegal","genomic RNA",10851,1.0851,">90%","Africa","Western Africa"
"224","BJ01/2016","Yellow fever virus","Angola Genotype","-N/A-","KY495641","10783","-N/A-","03/11/2016","Human","Homo sapiens","China","genomic RNA",10783,1.0783,">90%","Asia","China+"
"225","UNKNOWN-MA388208","Yellow fever virus","West Africa Genotype II","-N/A-","MA388208","8681","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",8681,0.8681,"50-90%",NA,NA
"226","SPAn 16/2016","Yellow fever virus",NA,"-N/A-","MH666056","10236","-N/A-","11/16/2016","Black Howler","Alouatta sp.","Brazil","genomic RNA",10236,1.0236,">90%","South America","Brazil"
"227","SPAn 14/2017","Yellow fever virus",NA,"-N/A-","MH666057","10185","-N/A-","01/23/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10185,1.0185,">90%","South America","Brazil"
"228","03/2017","Yellow fever virus",NA,"-N/A-","MH666058","10239","-N/A-","12/19/2016","Unknown","Sapajus sp.","Brazil","genomic RNA",10239,1.0239,">90%","South America","Brazil"
"229","SPAR STOSPASHLC5","Yellow fever virus",NA,"-N/A-","MH666059","9678","-N/A-","-N/A-","Mosquito","Haemagogus leucocelaenus","Brazil","genomic RNA",9678,0.9678,">90%","South America","Brazil"
"230","SPAR STOSAHN4","Yellow fever virus",NA,"-N/A-","MH666060","10233","-N/A-","-N/A-","Mosquito","Haemagogus janthinomys","Brazil","genomic RNA",10233,1.0233,">90%","South America","Brazil"
"231","Brazil_2017","Yellow fever virus",NA,"-N/A-","MH378284","10172","-N/A-","2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"232","H189","Yellow fever virus",NA,"-N/A-","MG550109","11007","-N/A-","04/18/2017","Human","Homo sapiens","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"233","RJ87","Yellow fever virus",NA,"-N/A-","MF423375","11007","-N/A-","04/04/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"234","RJ95","Yellow fever virus",NA,"-N/A-","MF423377","11007","-N/A-","04/19/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"235","H199","Yellow fever virus",NA,"-N/A-","MF434851","11007","-N/A-","04/25/2017","Human","Homo sapiens","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"236","H190","Yellow fever virus",NA,"-N/A-","MF538782","11007","-N/A-","03/16/2017","Human","Homo sapiens","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
